variant,deepseek,gpt-4o
base,0.392,0.301
domain,0.396,0.341
domain_few_shot,0.406,0.405
domain_few_shot_sarcasm,0.414,0.352
domain_few_shot_sarcasm_self_check,0.424,0.403
domain_few_shot_self_check,0.406,0.388
domain_label_explanation,0.59,0.571
domain_label_explanation_few_shot,0.59,0.572
domain_label_explanation_few_shot_sarcasm,0.581,0.518
domain_label_explanation_few_shot_sarcasm_self_check,0.597,0.576
domain_label_explanation_few_shot_self_check,0.611,0.603
domain_label_explanation_sarcasm,0.579,0.544
domain_label_explanation_sarcasm_self_check,0.571,0.586
domain_label_explanation_self_check,0.566,0.6
domain_sarcasm,0.431,0.342
domain_sarcasm_self_check,0.405,0.356
domain_self_check,0.379,0.348
few_shot,0.393,0.387
few_shot_sarcasm,0.407,0.344
few_shot_sarcasm_self_check,0.423,0.38
few_shot_self_check,0.422,0.382
label_explanation,0.581,0.538
label_explanation_few_shot,0.601,0.523
label_explanation_few_shot_sarcasm,0.578,0.484
label_explanation_few_shot_sarcasm_self_check,0.571,0.54
label_explanation_few_shot_self_check,0.602,0.561
label_explanation_sarcasm,0.597,0.491
label_explanation_sarcasm_self_check,0.597,0.55
label_explanation_self_check,0.595,0.544
role,0.409,0.314
role_domain,0.408,0.345
role_domain_few_shot,0.404,0.396
role_domain_few_shot_sarcasm,0.415,0.344
role_domain_few_shot_sarcasm_self_check,0.426,0.402
role_domain_few_shot_self_check,0.417,0.394
role_domain_label_explanation,0.599,0.576
role_domain_label_explanation_few_shot,0.604,0.558
role_domain_label_explanation_few_shot_sarcasm,0.595,0.512
role_domain_label_explanation_few_shot_sarcasm_self_check,0.602,0.599
role_domain_label_explanation_few_shot_self_check,0.624,0.599
role_domain_label_explanation_sarcasm,0.616,0.552
role_domain_label_explanation_sarcasm_self_check,0.603,0.602
role_domain_label_explanation_self_check,0.591,0.605
role_domain_sarcasm,0.449,0.345
role_domain_sarcasm_self_check,0.418,0.363
role_domain_self_check,0.38,0.356
role_few_shot,0.404,0.403
role_few_shot_sarcasm,0.414,0.347
role_few_shot_sarcasm_self_check,0.405,0.389
role_few_shot_self_check,0.426,0.391
role_label_explanation,0.64,0.559
role_label_explanation_few_shot,0.638,0.56
role_label_explanation_few_shot_sarcasm,0.608,0.507
role_label_explanation_few_shot_sarcasm_self_check,0.619,0.604
role_label_explanation_few_shot_self_check,0.639,0.601
role_label_explanation_sarcasm,0.619,0.545
role_label_explanation_sarcasm_self_check,0.604,0.601
role_label_explanation_self_check,0.628,0.578
role_sarcasm,0.405,0.285
role_sarcasm_self_check,0.39,0.34
role_self_check,0.408,0.331
sarcasm,0.388,0.259
sarcasm_self_check,0.389,0.344
self_check,0.381,0.355
