text,sentiment,source,text_cleaned,text_lemmatised
I clicked to stop global warming @Care2: https://t.co/NirerYjIpl,positive,Dataset B,i clicked to stop global warming user,click stop global warming user
"Fox News Tucker Carlson implodes as Bill Nye The Science Guy schooled him on climate change (VIDEO) https://t.co/AnUxh0Tce9
 #UniteBlue",positive,Dataset B,fox news tucker carlson implodes as bill nye the science guy schooled him on climate change video #uniteblue,fox news tucker carlson implode bill nye science guy school climate change video uniteblue
How To Convince Someone To Care About Climate Change: How do you persuade someone to take action… https://t.co/w0YmHFplEl | @HuffingtonPost,positive,Dataset B,how to convince someone to care about climate change how do you persuade someone to take action user,convince care climate change persuade action user
It sas 70 degrees on Wednesday and it's snowing today. These climate change denying politicians really think that w… https://t.co/AOixJv1rL2,positive,Dataset B,it sas degrees on wednesday and its snowing today these climate change denying politicians really think that w,sas degree wednesday snowing today climate change deny politician think w
"Jane Fonda, Naomi Klein, and Kathleen Wynne think climate change is an urgent crisis. 
Deniers everywhere say 'I knew I nailed it!'",positive,Dataset B,jane fonda naomi klein and kathleen wynne think climate change is an urgent crisis deniers everywhere say i knew i nailed it,jane fonda naomi klein kathleen wynne think climate change urgent crisis denier know nail
The bear community has no climate change deniers.,positive,Dataset B,the bear community has no climate change deniers,bear community climate change denier
#COP21: Optimism growing at #Paris #climate change conference https://t.co/DMcnvmUV91,positive,Dataset B,#cop optimism growing at #paris #climate change conference,cop optimism grow pari climate change conference
Feels like -21. Take that global warming.' - Climate deniers,positive,Dataset B,feels like take that global warming climate deniers,feel like global warming climate denier
"This #EarthDay, discover ways companies are taking real action against climate change. https://t.co/bnI2qSxPyv https://t.co/mEVMT1VJj2",positive,Dataset B,this #earthday discover ways companies are taking real action against climate change,earthday discover way company take real action climate change
The new Wolverine is called Logan and King Kong is now 'Kong' and people are still confident we'll come up with a solution to global warming,neutral,Dataset B,the new wolverine is called logan and king kong is now kong and people are still confident well come up with a solution to global warming,new wolverine call logan king kong kong people confident come solution global warming
Fuck all the people who don't believe in global warming it's real and we need to actually need to pay attention to it,positive,Dataset B,fuck all the people who dont believe in global warming its real and we need to actually need to pay attention to it,fuck people not believe global warm real need actually need pay attention
@ThelIluminati Invest 250 000 USD and get minimum 1 Million back! You will help to stop climate change -&gt; https://t.co/UfeZVlUu06,positive,Dataset B,user invest usd and get minimum million back you will help to stop climate change,user invest usd minimum million help stop climate change
Mpaka global warming na Alladin ðŸ˜­ðŸ˜‚ðŸ˜‚,neutral,Dataset B,mpaka global warming na alladin ðÿðÿðÿ,mpaka global warming na alladin ðÿðÿðÿ
"Many people still don't believe in global warming, it is a serious problem. It is almost inevitable. sea level risiâ€¦ https://t.co/92DmNaEyXU",positive,Dataset B,many people still dont believe in global warming it is a serious problem it is almost inevitable sea level risiâ,people not believe global warming problem inevitable sea level risiâ
Do u believe in climate change,neutral,Dataset B,do u believe in climate change,u believe climate change
be ready for climate change https://t.co/7ZmOyBIbSZ,positive,Dataset B,be ready for climate change,ready climate change
Al Gore is a fraud and refuses to debate global warming https://t.co/P9R5aRLcmW,negative,Dataset B,al gore is a fraud and refuses to debate global warming,al gore fraud refuse debate global warming
"So causing global warming, trying to enslave all humans and or genocide isn$q$t bad. https://t.co/Drfc3fpY5j",positive,Dataset B,so causing global warming trying to enslave all humans and or genocide isnt bad,cause global warming try enslave human genocide not bad
#WhenTheSnowMeltsIWillFind water. This is a global warming tag right? https://t.co/wZqhYbLKVd,neutral,Dataset B,#whenthesnowmeltsiwillfind water this is a global warming tag right,whenthesnowmeltsiwillfind water global warming tag right
@CNN It's 2019 and Republicans defeat another climate change deal despite worsening drought in Kansas and Nebraska.Ã¢â‚¬Â¦ https://t.co/3DgxxNxYKF,positive,Dataset B,user its and republicans defeat another climate change deal despite worsening drought in kansas and nebraskaãââ,user republicans defeat climate change deal despite worsen drought kansas nebraskaãââ
Is Bernie Sanders the only one still talking about climate change? https://t.co/g2I136M4j4,positive,Dataset B,is bernie sanders the only one still talking about climate change,bernie sanders talk climate change
@JannaWilkinso69 Ha ha!! Funny you! It's 13Â° here in Wisconsin ðŸ¤¤ðŸ¤¤ðŸ˜¨ðŸ˜¨â„â„â˜ƒâ˜ƒI sure wish that global warming would kick iâ€¦ https://t.co/8w1nKWNBQm,neutral,Dataset B,user ha ha funny you its â here in wisconsin ðÿðÿðÿðÿâââƒâƒi sure wish that global warming would kick iâ,user ha ha funny â wisconsin ðÿðÿðÿðÿâââƒâƒi sure wish global warming kick iâ
"GOOD! If the PEOTUS &amp; EPA appointee won't fight climate change in the 2nd most polluting country, the rest of us ne… https://t.co/Ej44pQaRZi",positive,Dataset B,good if the peotus epa appointee wont fight climate change in the nd most polluting country the rest of us ne,good peotus epa appointee will not fight climate change nd polluting country rest ne
@BrazeltonDavid @RepDonBeyer Perhaps because the party in power doesnâ€™t even accept that global warming is caused by humans.,positive,Dataset B,user user perhaps because the party in power doesnât even accept that global warming is caused by humans,user user party power doesnât accept global warming cause human
@Cherlyn_Felle it is... global warming is no joke lol,positive,Dataset B,user it is global warming is no joke lol,user global warming joke lol
Working on this in Episode 4 and 5. https://t.co/LWTsnoQlpl,neutral,Dataset B,working on this in episode and,work episode
$q$Climate Change Is Doing Something Horrifying To Wine$q$ Yes  #science #feedly #wine #alcohol  https://t.co/0LyCErusok,positive,Dataset B,climate change is doing something horrifying to wine yes #science #feedly #wine #alcohol,climate change horrify wine yes science feedly wine alcohol
More evidence global warming is a fraud https://t.co/Y7ZFczrCAb,negative,Dataset B,more evidence global warming is a fraud,evidence global warming fraud
